SORULAR,CEVAPLAR,EN_SORULAR,EN_CEVAPLAR
Şehir merkezine nasıl giderim?,Şehir merkezine toplu taşıma araçları ya da taksi kullanarak ulaşabilirsiniz. Toplu taşıma imkanları için HAVAİST ve İETT web sitelerini kontrol edebilirsiniz.,How do I get to the city centre?,"You can reach the city center by public transportation or taxi. For public transportation options, please check the HAVAİST and İETT websites."
HAVAİST otobüsleri nerelerden kalkmaktadır?,Havalimanımızdaki HAVAİST ve İETT otobüslerinin kalktığı ulaşım katına giden yolcu ve gelen yolcu katlarının giriş kapıları öncesinde bulunan asansörlerle -2 katına inerek ve yönlendirmelerde Ulaşım Katı tabelasını takip ederek ulaşabilirsiniz.,Where do HAVAIST buses depart from?,You can reach the transportation floor where HAVAİST and İETT buses depart from at our airport by going down to floor -2 using the elevators located before the entrance doors of the departing passenger and arrival passenger floors and following the Transportation Floor sign in the directions.
HAVAİST araçları için nakit ile ödeme yapabilir miyim?,"Havaist’e binerken ödemeler bilet satış noktaları veya belirlenen ara duraklardan nakit olarak, araç içerisinde banka/kredi kartı ile yapılabilir, ayrıca biniş öncesinde Havaist mobil uygulaması veya web adresi üzerinden online ödeme ile araçlara binişte kullanmak üzere QR kod alınabilir.",Can I pay for HAVAIST vehicles with cash?,"When boarding Havaist, payments can be made in cash at ticket sales points or designated intermediate stops, or by debit/credit card inside the vehicle. You can also obtain a QR code to use when boarding the vehicles by making online payment via the Havaist mobile app or website before boarding."
Otobüs ücretlerini nereden öğrenebilirim?,Havalimanımızda hizmet veren Havaist otobüslerinin fiyatlarını havaist web sitesinden öğrenebilirsiniz.,Where can I find out bus fares?,You can find out the prices of Havaist buses serving our airport on the Havaist website.
Havalimanından şehre metro ile gidebilir miyim?,"Gayrettepe – İstanbul Havalimanı metrosundan Kağıthane, Hasdal, Kemerburgaz, Göktürk, İhsaniye duraklarına ulaşım sağlayabilirsiniz.",Can I take the metro from the airport to the city?,"You can reach Kağıthane, Hasdal, Kemerburgaz, Göktürk and İhsaniye stops from Gayrettepe – Istanbul Airport metro."
Otopark ücretlerini nereden öğrenebilirim?,Otopark ücretlerini web sitemizden ulaşım ve otopark sayfalarına giderek öğrenebilirsiniz.,Where can I find out the parking fees?,You can find out about parking fees by visiting the transportation and parking pages on our website.
Otopark ödeme işlemleri hangi yollarla gerçekleştirebilirim?,"Abonelik dışındaki otopark ödemelerinizi katlı otoparkta Kırmızı otopark P3 katı manuel ödeme gişesi ve Mor otopark P3 katında bulunan manuel ödeme gişesinden, otopark içinde kırmızı ve mor P3 katlarındaki, P5 katındaki yürüyen bantların yanındaki, P2 çıkış noktalarındaki L02 aksında ve P6 teras katındaki asansörlerin yanındaki toplam 30 adet bulunan otomatik ödeme cihazlarından nakit ve kredi kartı ile giden yolcu katı danışma noktalarından ve Apple/Android cihazınıza yükleyeceğiniz İstanbul Airport mobil uygulamamız üzerinden de kredi kartı ile gerçekleştirebilirsiniz.",How can I make parking payment transactions?,"You can make your parking payments outside of your subscription at the manual payment booth located on the P3 floor of the Red Car Park and the P3 floor of the Purple Car Park in the multi-storey car park. You can also make automatic payment machines (30 in total) on the P3 floors of the Red and Purple Car Park, next to the moving walkways on the P5 floor, next to the elevators on the L02 axis at the P2 exits, and next to the elevators on the P6 terrace floor. You can also make payments by cash or credit card at the information desks on the departures floor. You can also download the Istanbul Airport mobile app to your Apple/Android device."
Otoparkta abonelik nasıl yaptırırım?,"15 günlük, 30 günlük abonelik işlemlerinizi katlı otoparka giriş yaptıktan sonra 3 saat içerisinde Kırmızı otopark P3 katı manuel ödeme gişesi, Mor Otopark P3 katındaki manuel ödeme gişesinde ya da giden yolcu katındaki danışma noktalarında gerçekleştirebilirsiniz. Giden yolcu katındaki danışma noktalarında sadece kredi kartı ile ödeme yapılabilmektedir. 15 günlük kısa
süreli abonelik işlemlerini aynı zamanda katlı otoparka giriş yaptıktan sonra 1 saat içerisinde otoparktaki otomatik ödeme cihazları aracılığıyla da gerçekleştirilebilirsiniz.",How do I get a parking subscription?,"You can complete your 15-day or 30-day subscriptions within three hours of entering the multi-story car park, at the manual payment booth on the P3 floor of the Red Car Park, the P3 floor of the Purple Car Park, or at the information desk on the departures floor. Payments can only be made by credit card at the information desks on the departures floor. Short-term 15-day subscriptions can also be completed within one hour of entering the multi-story car park via the automatic payment machines in the parking lot."
Otoparkınızda araç yıkama mevcut mu?,Otoparkımızda R katında araç yıkama hizmeti bulunmakta olup bu hizmetten araçlarını valeye teslim eden misafirlerimiz yararlanabilmektedir.,Is there a car wash in your parking lot?,"There is a car wash service on the R floor of our parking lot, and our guests who leave their vehicles to the valet can benefit from this service."
Havalimanında vale hizmeti var mı?,Havalimanımızda vale hizmeti verilmektedir. Vale hizmeti almak isteyen misafirlerimiz araçlarını valeye teslim ederken görevli vale personeline belirtmeleri şartıyla otopark kısa süreli aboneliklerinden de faydalanabilirler.,Is there valet service at the airport?,"Valet service is available at our airport. Guests wishing to use valet parking can also take advantage of short-term parking passes, provided they notify the valet staff when returning their vehicles."
